fecha_de_cargo,descripcion,categoria,monto,forma_de_pago,realizado_por,limite_de_pago,deuda_a_plazos_recurrente_o_normal,comentarios
2023-10-29,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2023-12-01,Plazos,
2023-11-05,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2023-12-01,Plazos,
2023-11-12,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2023-12-01,Plazos,
2023-11-19,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2023-12-31,Plazos,
2023-11-26,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2023-12-31,Plazos,
2023-12-03,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2023-12-31,Plazos,
2023-12-10,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2023-12-31,Plazos,
2023-12-17,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-01-31,Plazos,
2023-12-24,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-01-31,Plazos,
2023-12-31,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-01-31,Plazos,
2024-01-07,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-01-31,Plazos,
2024-01-14,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-02,Plazos,
2024-01-21,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-02,Plazos,
2024-01-28,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-02,Plazos,
2024-02-04,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-02,Plazos,
2024-02-11,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-02,Plazos,
2024-02-18,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-31,Plazos,
2024-02-25,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-31,Plazos,
2024-03-03,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-31,Plazos,
2024-03-10,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-03-31,Plazos,
2024-03-17,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-01,Plazos,
2024-03-24,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-01,Plazos,
2024-03-31,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-01,Plazos,
2024-04-07,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-01,Plazos,
2024-04-14,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-31,Plazos,
2024-04-21,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-31,Plazos,
2024-04-28,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-31,Plazos,
2024-05-05,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-31,Plazos,
2024-05-12,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-05-31,Plazos,
2024-05-19,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-07-01,Plazos,
2024-05-26,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-07-01,Plazos,
2024-06-02,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-07-01,Plazos,
2024-06-09,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-07-01,Plazos,
2024-06-16,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-07-31,Plazos,
2024-06-23,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-07-31,Plazos,
2024-06-30,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-07-31,Plazos,
