,fecha_de_cargo,descripcion,categoria,monto,forma_de_pago,realizado_por,deuda_a_plazos_recurrente_o_normal,comentarios,limite_de_pago
0,2024-05-10,Flores Mamá,Regalos Otros,200.0,Costco,Aylin,Normal,Dia de madres,2024-06-03
1,2024-05-09,Flores Mamá,Regalos Otros,200.0,Costco,Aylin,Normal,Dia de madres,2024-06-03
2,2023-10-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2023-12-01
3,2023-11-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2023-12-31
4,2023-12-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-01-31
5,2024-01-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-03-02
6,2024-02-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-03-31
7,2024-03-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-05-01
8,2024-04-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-05-31
9,2024-05-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-07-01
10,2024-06-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-07-31
11,2024-07-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-08-31
12,2024-08-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-10-01
13,2024-09-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-10-31
14,2024-10-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-12-01
15,2024-11-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2024-12-31
16,2024-12-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2025-01-31
17,2025-01-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2025-03-03
18,2025-03-01,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2025-03-31
19,2025-03-29,Celular Samsung A54,Electrónicos,555.5555555555555,LikeU,Aylin,Plazos,,2025-05-01
20,2024-05-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-05-21
21,2024-06-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-06-21
22,2024-07-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-07-21
23,2024-08-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-08-21
24,2024-09-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-09-21
25,2024-10-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-10-21
26,2024-11-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-11-21
27,2024-12-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2024-12-21
28,2025-01-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-01-21
29,2025-02-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-02-21
30,2025-03-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-03-21
31,2025-04-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-04-21
32,2025-05-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-05-21
33,2025-06-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-06-21
34,2025-07-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-07-21
35,2025-08-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-08-21
36,2025-09-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-09-21
37,2025-10-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-10-21
38,2025-11-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-11-21
39,2025-12-21,Colegiatura,Servicios,1800.0,Hey Debito,Aylin,Recurrente,,2025-12-21
40,2024-09-21,Reinscripcion,Servicios,800.0,Hey Credito,Aylin,Recurrente,,2024-10-31
41,2025-01-21,Reinscripcion,Servicios,800.0,Hey Credito,Aylin,Recurrente,,2025-03-03
42,2025-05-21,Reinscripcion,Servicios,800.0,Hey Credito,Aylin,Recurrente,,2025-07-01
43,2025-09-21,Reinscripcion,Servicios,800.0,Hey Credito,Aylin,Recurrente,,2025-10-31
